Weapon (Click for note),Right - 1H Light #1,Right - 1H Light #2,Right - 1H Heavy #1,Right - 1H Heavy #2,Right - 1H Light Running,Right - 1H Light Rolling,Right - 1H Light Backstep,Right - 1H Falling,Right - 1H Landing,Right - 1H Jumping,2H Light #1,2H Light #2,2H Heavy #1,2H Heavy #2,Right - 2H Light Running,Right - 2H Light Rolling,Right - 2H Light Backstep,Right - 2H Falling,Right - 2H Landing,Right - 2H Jumping,Chain 1 #1,Chain 1 #2,Chain 2 #1,Chain 2 #2,Chain Running,Chain Rolling,Chain Backstep,Chain Falling,Chain Landing,Chain Jumping,Right - Powerstance - Light #1,Right - Powerstance - Light #2,Right - Powerstance - Heavy #1,Right - Powerstance - Heavy #2,Right - Powerstance - Light Running,Right - Powerstance - Light Rolling,Right - Powerstance - Light Backstep,Right - Powerstance - Falling,Right - Powerstance - Landing,Right - Powerstance - Jumping,Left - 1H Light #1,Left - 1H Light #2,Left - 1H Heavy #1,Left - 1H Heavy #2,Left - 1H Light Running,Left - 1H Light Rolling,Left - 1H Light Backstep,Left - 1H Falling,Left - 1H Landing,Left - 1H Jumping,Left - 2H Light,Left - 2H Heavy,Left - Powerstance - Light #1,Left - Powerstance - Light #2,Left - Powerstance - Heavy,Guard Break #1,Guard Break #2,Shield Poke 1 #1,Shield Poke 1 #2,Shield Poke 2 #1,Shield Poke 2 #2,Riposte,Guard Break Stab,Backstab
Mirrah Greatsword,28.79,31.82,42.42,43.94,22.73,22.73,22.73,50.00,50.00,50.00,35.97,39.75,53.03,54.90,28.39,28.39,28.39,62.48,62.48,62.48,40.30,44.54,59.39,61.51,31.82,31.82,31.82,69.99,69.99,69.99,28.79,31.82,42.42,43.94,22.73,22.73,22.73,50.00,50.00,50.00,31.09,34.36,45.81,47.45,24.54,24.54,24.54,53.99,53.99,53.99,38.84,42.94,31.09,34.36,45.81,23.03,23.03,37.42,41.36,55.15,57.12,30.30,30.30,30.30
Mirrah Shield,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,26.59,29.39,39.20,40.59,20.99,20.99,20.99,46.19,46.19,46.19,29.79,32.93,43.90,45.47,23.52,23.52,23.52,51.74,51.74,51.74,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,22.98,25.40,33.87,35.08,18.14,18.14,18.14,39.92,39.92,39.92,28.72,31.74,22.98,25.40,33.87,17.02,17.02,27.66,30.58,40.77,42.22,22.40,22.40,22.40
Monastery Scimitar,16.06,17.75,23.66,24.51,12.68,12.68,12.68,27.89,27.89,27.89,20.06,22.17,29.58,30.62,15.84,15.84,15.84,34.85,34.85,34.85,22.48,24.84,33.12,34.31,17.75,17.75,17.75,39.04,39.04,39.04,16.06,17.75,23.66,24.51,12.68,12.68,12.68,27.89,27.89,27.89,17.34,19.16,25.55,26.47,13.69,13.69,13.69,30.12,30.12,30.12,21.67,23.95,17.34,19.16,25.55,12.84,12.84,20.87,23.07,30.76,31.86,16.90,16.90,16.90
Moon Butterfly Shield,18.91,20.90,27.86,28.86,14.93,14.93,14.93,32.84,32.84,32.84,23.62,26.11,34.83,36.06,18.65,18.65,18.65,41.03,41.03,41.03,26.47,29.25,39.00,40.40,20.90,20.90,20.90,45.97,45.97,45.97,18.91,20.90,27.86,28.86,14.93,14.93,14.93,32.84,32.84,32.84,20.42,22.57,30.09,31.16,16.12,16.12,16.12,35.46,35.46,35.46,25.51,28.20,20.42,22.57,30.09,15.12,15.12,24.58,27.16,36.22,37.51,19.90,19.90,19.90
Moonlight Greatsword,33.25,36.75,49.00,50.75,26.25,26.25,26.25,57.75,57.75,57.75,41.55,45.92,61.25,63.42,32.80,32.80,32.80,72.17,72.17,72.17,46.55,51.45,68.60,71.05,36.75,36.75,36.75,80.85,80.85,80.85,33.25,36.75,49.00,50.75,26.25,26.25,26.25,57.75,57.75,57.75,35.91,39.69,52.92,54.81,28.35,28.35,28.35,62.37,62.37,62.37,44.87,49.60,35.91,39.69,52.92,26.60,26.60,43.23,47.78,63.70,65.98,35.00,35.00,35.00
Morning Star,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,28.84,31.88,42.53,44.03,22.77,22.77,22.77,50.11,50.11,50.11,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,24.93,27.56,36.74,38.05,19.68,19.68,19.68,43.30,43.30,43.30,31.15,34.43,24.93,27.56,36.74,18.47,18.47,30.01,33.17,44.23,45.81,24.30,24.30,24.30
Murakumo,30.69,33.92,45.22,46.84,24.23,24.23,24.23,53.30,53.30,53.30,38.34,42.38,56.53,58.53,30.27,30.27,30.27,66.60,66.60,66.60,42.96,47.48,63.31,65.57,33.92,33.92,33.92,74.61,74.61,74.61,30.69,33.92,45.22,46.84,24.23,24.23,24.23,53.30,53.30,53.30,33.14,36.63,48.84,50.58,26.16,26.16,26.16,57.56,57.56,57.56,41.41,45.77,33.14,36.63,48.84,24.55,24.55,39.89,44.09,58.79,60.89,32.30,32.30,32.30
Mytha's Bent Blade,11.69,12.92,17.22,17.84,9.23,9.23,9.23,20.30,20.30,20.30,14.60,16.14,21.53,22.29,11.53,11.53,11.53,25.36,25.36,25.36,16.36,18.08,24.11,24.97,12.92,12.92,12.92,28.41,28.41,28.41,11.69,12.92,17.22,17.84,9.23,9.23,9.23,20.30,20.30,20.30,12.62,13.95,18.60,19.26,9.96,9.96,9.96,21.92,21.92,21.92,15.77,17.43,12.62,13.95,18.60,9.35,9.35,15.19,16.79,22.39,23.19,12.30,12.30,12.30
Notched Whip,19.29,21.32,28.42,29.44,15.23,15.23,15.23,33.50,33.50,33.50,24.10,26.63,35.53,36.78,19.02,19.02,19.02,41.86,41.86,41.86,27.00,29.84,39.79,41.21,21.32,21.32,21.32,46.89,46.89,46.89,19.29,21.32,28.42,29.44,15.23,15.23,15.23,33.50,33.50,33.50,20.83,23.02,30.69,31.79,16.44,16.44,16.44,36.17,36.17,36.17,26.02,28.77,20.83,23.02,30.69,15.43,15.43,25.07,27.71,36.95,38.27,20.30,20.30,20.30
Old Knight Greatshield,28.22,31.19,41.58,43.07,22.28,22.28,22.28,49.01,49.01,49.01,35.25,38.97,51.98,53.82,27.83,27.83,27.83,61.24,61.24,61.24,39.50,43.66,58.21,60.29,31.19,31.19,31.19,68.61,68.61,68.61,28.22,31.19,41.58,43.07,22.28,22.28,22.28,49.01,49.01,49.01,30.47,33.68,44.91,46.51,24.06,24.06,24.06,52.93,52.93,52.93,38.08,42.08,30.47,33.68,44.91,22.57,22.57,36.68,40.54,54.05,55.98,29.70,29.70,29.70
Old Knight Greatsword,28.22,31.19,41.58,43.07,22.28,22.28,22.28,49.01,49.01,49.01,35.25,38.97,51.98,53.82,27.83,27.83,27.83,61.24,61.24,61.24,39.50,43.66,58.21,60.29,31.19,31.19,31.19,68.61,68.61,68.61,28.22,31.19,41.58,43.07,22.28,22.28,22.28,49.01,49.01,49.01,30.47,33.68,44.91,46.51,24.06,24.06,24.06,52.93,52.93,52.93,38.08,42.08,30.47,33.68,44.91,22.57,22.57,36.68,40.54,54.05,55.98,29.70,29.70,29.70
Old Knight Halberd,30.78,34.02,45.36,46.98,24.30,24.30,24.30,53.46,53.46,53.46,38.46,42.51,56.70,58.71,30.36,30.36,30.36,66.81,66.81,66.81,43.09,47.63,63.50,65.77,34.02,34.02,34.02,74.84,74.84,74.84,30.78,34.02,45.36,46.98,24.30,24.30,24.30,53.46,53.46,53.46,33.24,36.74,48.99,50.74,26.24,26.24,26.24,57.74,57.74,57.74,41.54,45.91,33.24,36.74,48.99,24.62,24.62,40.01,44.23,58.97,61.07,32.40,32.40,32.40
Old Knight Hammer,30.59,33.81,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,38.22,42.25,56.35,58.35,30.17,30.17,30.17,66.40,66.40,66.40,42.83,47.33,63.11,65.37,33.81,33.81,33.81,74.38,74.38,74.38,30.59,33.81,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,33.04,36.51,48.69,50.43,26.08,26.08,26.08,57.38,57.38,57.38,41.28,45.63,33.04,36.51,48.69,24.47,24.47,39.77,43.95,58.60,60.70,32.20,32.20,32.20
Old Knight Pike,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,37.39,41.33,55.13,57.08,29.52,29.52,29.52,64.95,64.95,64.95,41.90,46.31,61.74,63.95,33.08,33.08,33.08,72.77,72.77,72.77,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,40.38,44.64,32.32,35.72,47.63,23.94,23.94,38.90,43.00,57.33,59.38,31.50,31.50,31.50
Old Knight Ultra Greatsword,30.69,33.92,45.22,46.84,24.23,24.23,24.23,53.30,53.30,53.30,38.34,42.38,56.53,58.53,30.27,30.27,30.27,66.60,66.60,66.60,42.96,47.48,63.31,65.57,33.92,33.92,33.92,74.61,74.61,74.61,30.69,33.92,45.22,46.84,24.23,24.23,24.23,53.30,53.30,53.30,33.14,36.63,48.84,50.58,26.16,26.16,26.16,57.56,57.56,57.56,41.41,45.77,33.14,36.63,48.84,24.55,24.55,39.89,44.09,58.79,60.89,32.30,32.30,32.30
Old Knight's Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Old Mirrah Greatsword,28.79,31.82,42.42,43.94,22.73,22.73,22.73,50.00,50.00,50.00,35.97,39.75,53.03,54.90,28.39,28.39,28.39,62.48,62.48,62.48,40.30,44.54,59.39,61.51,31.82,31.82,31.82,69.99,69.99,69.99,28.79,31.82,42.42,43.94,22.73,22.73,22.73,50.00,50.00,50.00,31.09,34.36,45.81,47.45,24.54,24.54,24.54,53.99,53.99,53.99,38.84,42.94,31.09,34.36,45.81,23.03,23.03,37.42,41.36,55.15,57.12,30.30,30.30,30.30
Old Whip,12.92,14.28,19.04,19.72,10.20,10.20,10.20,22.44,22.44,22.44,16.14,17.84,23.80,24.64,12.74,12.74,12.74,28.04,28.04,28.04,18.09,19.99,26.66,27.61,14.28,14.28,14.28,31.42,31.42,31.42,12.92,14.28,19.04,19.72,10.20,10.20,10.20,22.44,22.44,22.44,13.95,15.42,20.56,21.30,11.02,11.02,11.02,24.24,24.24,24.24,17.44,19.27,13.95,15.42,20.56,10.34,10.34,16.80,18.56,24.75,25.64,13.60,13.60,13.60
Olenford's Staff,25.65,28.35,31.22,32.34,16.73,16.73,16.73,36.80,36.80,36.80,32.05,35.42,39.03,40.41,20.90,20.90,20.90,45.98,45.98,45.98,29.66,32.78,43.71,45.27,23.42,23.42,23.42,51.51,51.51,51.51,21.19,23.42,31.22,32.34,16.73,16.73,16.73,36.80,36.80,36.80,27.70,30.62,33.72,34.92,18.06,18.06,18.06,39.74,39.74,39.74,28.59,31.60,22.88,25.29,33.72,16.95,16.95,27.54,30.44,40.59,42.04,22.30,22.30,22.30
Orma's Greatshield,29.45,32.55,43.40,44.95,23.25,23.25,23.25,51.15,51.15,51.15,36.80,40.67,54.25,56.17,29.05,29.05,29.05,63.92,63.92,63.92,41.23,45.57,60.76,62.93,32.55,32.55,32.55,71.61,71.61,71.61,29.45,32.55,43.40,44.95,23.25,23.25,23.25,51.15,51.15,51.15,31.81,35.15,46.87,48.55,25.11,25.11,25.11,55.24,55.24,55.24,39.74,43.93,31.81,35.15,46.87,23.56,23.56,38.29,42.32,56.42,58.44,31.00,31.00,31.00
Parrying Dagger,12.16,13.44,17.92,18.56,9.60,9.60,9.60,21.12,21.12,21.12,15.19,16.79,22.40,23.19,11.99,11.99,11.99,26.39,26.39,26.39,17.02,18.82,25.09,25.98,13.44,13.44,13.44,29.57,29.57,29.57,12.16,13.44,17.92,18.56,9.60,9.60,9.60,21.12,21.12,21.12,13.13,14.52,19.35,20.04,10.37,10.37,10.37,22.81,22.81,22.81,16.41,18.14,13.13,14.52,19.35,9.73,9.73,15.81,17.47,23.30,24.13,12.80,12.80,12.80
Partizan,23.94,26.46,35.28,36.54,18.90,18.90,18.90,41.58,41.58,41.58,29.91,33.06,44.10,45.66,23.61,23.61,23.61,51.96,51.96,51.96,33.52,37.04,49.39,51.16,26.46,26.46,26.46,58.21,58.21,58.21,23.94,26.46,35.28,36.54,18.90,18.90,18.90,41.58,41.58,41.58,25.86,28.58,38.10,39.46,20.41,20.41,20.41,44.91,44.91,44.91,32.31,35.71,25.86,28.58,38.10,19.15,19.15,31.12,34.40,45.86,47.50,25.20,25.20,25.20
Pate's Shield,25.08,27.72,36.96,38.28,19.80,19.80,19.80,43.56,43.56,43.56,31.34,34.64,46.20,47.84,24.74,24.74,24.74,54.44,54.44,54.44,35.11,38.81,51.74,53.59,27.72,27.72,27.72,60.98,60.98,60.98,25.08,27.72,36.96,38.28,19.80,19.80,19.80,43.56,43.56,43.56,27.09,29.94,39.92,41.34,21.38,21.38,21.38,47.04,47.04,47.04,33.84,37.41,27.09,29.94,39.92,20.06,20.06,32.60,36.04,48.05,49.76,26.40,26.40,26.40
Pate's Spear,26.98,29.82,39.76,41.18,21.30,21.30,21.30,46.86,46.86,46.86,33.71,37.26,49.70,51.46,26.61,26.61,26.61,58.56,58.56,58.56,37.77,41.75,55.66,57.65,29.82,29.82,29.82,65.60,65.60,65.60,26.98,29.82,39.76,41.18,21.30,21.30,21.30,46.86,46.86,46.86,29.14,32.21,42.94,44.47,23.00,23.00,23.00,50.61,50.61,50.61,36.41,40.24,29.14,32.21,42.94,21.58,21.58,35.07,38.77,51.69,53.53,28.40,28.40,28.40
Phoenix Parma,17.20,19.01,25.34,26.25,13.58,13.58,13.58,29.87,29.87,29.87,21.48,23.75,31.68,32.80,16.96,16.96,16.96,37.32,37.32,37.32,24.07,26.61,35.48,36.74,19.01,19.01,19.01,41.81,41.81,41.81,17.20,19.01,25.34,26.25,13.58,13.58,13.58,29.87,29.87,29.87,18.57,20.53,27.37,28.34,14.66,14.66,14.66,32.25,32.25,32.25,23.20,25.65,18.57,20.53,27.37,13.76,13.76,22.35,24.71,32.94,34.12,18.10,18.10,18.10
Pickaxe,21.38,23.63,31.50,32.63,16.88,16.88,16.88,37.13,37.13,37.13,26.71,29.52,39.38,40.77,21.08,21.08,21.08,46.40,46.40,46.40,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,21.38,23.63,31.50,32.63,16.88,16.88,16.88,37.13,37.13,37.13,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,28.85,31.88,23.09,25.52,34.02,17.10,17.10,27.79,30.71,40.95,42.41,22.50,22.50,22.50
Pike,27.74,30.66,40.88,42.34,21.90,21.90,21.90,48.18,48.18,48.18,34.66,38.31,51.10,52.91,27.36,27.36,27.36,60.21,60.21,60.21,38.84,42.92,57.23,59.28,30.66,30.66,30.66,67.45,67.45,67.45,27.74,30.66,40.88,42.34,21.90,21.90,21.90,48.18,48.18,48.18,29.96,33.11,44.15,45.73,23.65,23.65,23.65,52.03,52.03,52.03,37.43,41.38,29.96,33.11,44.15,22.19,22.19,36.06,39.86,53.14,55.04,29.20,29.20,29.20
Pilgrim's Spontoon,18.34,20.27,36.12,37.41,14.48,14.48,14.48,31.85,31.85,31.85,22.91,25.32,45.15,46.75,18.08,18.08,18.08,39.80,39.80,39.80,25.67,28.37,37.83,39.18,20.27,20.27,20.27,44.58,44.58,44.58,18.34,20.27,27.02,27.99,14.48,14.48,14.48,31.85,31.85,31.85,19.80,21.89,39.01,40.40,15.63,15.63,15.63,34.39,34.39,34.39,24.74,27.35,19.80,21.89,29.18,14.67,14.67,23.84,26.34,35.13,36.38,19.30,19.30,19.30
Porcine Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Possessed Armor Greatbow,88.26,97.55,130.06,134.71,17.40,17.40,17.40,38.28,38.28,38.28,110.27,121.88,162.58,168.33,21.74,21.74,21.74,47.84,47.84,47.84,30.86,34.10,45.47,47.10,24.36,24.36,24.36,53.59,53.59,53.59,22.04,24.36,32.48,33.64,17.40,17.40,17.40,38.28,38.28,38.28,95.32,105.35,140.46,145.48,18.79,18.79,18.79,41.34,41.34,41.34,29.74,32.87,23.80,26.31,35.08,17.63,17.63,28.65,31.67,42.22,43.73,23.20,23.20,23.20
Possessed Armor Sword,23.56,26.04,34.72,35.96,18.60,18.60,18.60,40.92,40.92,40.92,29.44,32.54,43.40,44.94,23.24,23.24,23.24,51.14,51.14,51.14,32.98,36.46,48.61,50.34,26.04,26.04,26.04,57.29,57.29,57.29,23.56,26.04,34.72,35.96,18.60,18.60,18.60,40.92,40.92,40.92,25.44,28.12,37.50,38.84,20.09,20.09,20.09,44.19,44.19,44.19,31.79,35.14,25.44,28.12,37.50,18.85,18.85,30.63,33.85,45.14,46.75,24.80,24.80,24.80
Priest's Chime,25.08,27.72,26.18,27.12,14.03,14.03,14.03,30.86,30.86,30.86,31.34,34.64,32.73,33.88,17.52,17.52,17.52,38.56,38.56,38.56,24.87,27.49,36.65,37.96,19.64,19.64,19.64,43.20,43.20,43.20,17.77,19.64,26.18,27.12,14.03,14.03,14.03,30.86,30.86,30.86,27.09,29.94,28.27,29.28,15.15,15.15,15.15,33.32,33.32,33.32,23.97,26.50,19.19,21.21,28.27,14.21,14.21,23.09,25.53,34.03,35.25,18.70,18.70,18.70
Protective Chime,27.36,30.24,28.56,29.58,15.30,15.30,15.30,33.66,33.66,33.66,34.19,37.79,35.70,36.96,19.11,19.11,19.11,42.06,42.06,42.06,27.13,29.99,39.98,41.41,21.42,21.42,21.42,47.12,47.12,47.12,19.38,21.42,28.56,29.58,15.30,15.30,15.30,33.66,33.66,33.66,29.55,32.66,30.84,31.95,16.52,16.52,16.52,36.35,36.35,36.35,26.15,28.91,20.93,23.13,30.84,15.50,15.50,25.19,27.85,37.13,38.45,20.40,20.40,20.40
Pursuer's Greatshield,25.94,28.67,38.22,39.59,20.48,20.48,20.48,45.05,45.05,45.05,32.41,35.82,47.78,49.47,25.58,25.58,25.58,56.29,56.29,56.29,36.31,40.13,53.51,55.42,28.67,28.67,28.67,63.06,63.06,63.06,25.94,28.67,38.22,39.59,20.48,20.48,20.48,45.05,45.05,45.05,28.01,30.96,41.28,42.75,22.11,22.11,22.11,48.65,48.65,48.65,35.00,38.68,28.01,30.96,41.28,20.75,20.75,33.72,37.26,49.69,51.46,27.30,27.30,27.30
Pursuer's Ultra Greatsword,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,37.39,41.33,55.13,57.08,29.52,29.52,29.52,64.95,64.95,64.95,41.90,46.31,61.74,63.95,33.08,33.08,33.08,72.77,72.77,72.77,29.93,33.08,44.10,45.68,23.63,23.63,23.63,51.98,51.98,51.98,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,40.38,44.64,32.32,35.72,47.63,23.94,23.94,38.90,43.00,57.33,59.38,31.50,31.50,31.50
Puzzling Stone Sword,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,24.93,27.55,36.75,38.05,19.68,19.68,19.68,43.30,43.30,43.30,27.93,30.87,41.16,42.63,22.05,22.05,22.05,48.51,48.51,48.51,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,21.55,23.81,31.75,32.89,17.01,17.01,17.01,37.42,37.42,37.42,26.92,29.76,21.55,23.81,31.75,15.96,15.96,25.94,28.67,38.22,39.59,21.00,21.00,21.00
Pyromancy Flame,29.93,33.08,24.92,25.81,13.35,13.35,13.35,29.37,29.37,29.37,37.39,41.33,31.15,32.25,16.68,16.68,16.68,36.70,36.70,36.70,23.67,26.17,34.89,36.13,18.69,18.69,18.69,41.12,41.12,41.12,16.91,18.69,24.92,25.81,13.35,13.35,13.35,29.37,29.37,29.37,32.32,35.72,26.91,27.87,14.42,14.42,14.42,31.72,31.72,31.72,22.82,25.22,18.26,20.19,26.91,13.53,13.53,21.98,24.30,32.40,33.55,17.80,17.80,17.80
Rampart Golem Lance,36.67,40.53,54.04,55.97,31.27,28.95,28.95,63.69,63.69,63.69,45.82,50.64,67.55,69.94,39.06,36.17,36.17,79.59,79.59,79.59,51.34,56.74,75.66,78.36,43.77,40.53,40.53,89.17,89.17,89.17,36.67,40.53,54.04,55.97,31.27,28.95,28.95,63.69,63.69,63.69,39.60,43.77,58.36,60.45,33.74,31.27,31.27,68.79,68.79,68.79,49.49,54.70,39.60,43.77,58.36,29.34,29.34,47.67,52.69,70.25,72.76,38.60,38.60,38.60
Rampart Golem Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Rapier,19.00,21.00,28.00,29.00,15.00,15.00,15.00,33.00,33.00,33.00,23.74,26.24,35.00,36.24,18.74,18.74,18.74,41.24,41.24,41.24,26.60,29.40,39.20,40.60,21.00,21.00,21.00,46.20,46.20,46.20,19.00,21.00,28.00,29.00,15.00,15.00,15.00,33.00,33.00,33.00,20.52,22.68,30.24,31.32,16.20,16.20,16.20,35.64,35.64,35.64,25.64,28.34,20.52,22.68,30.24,15.20,15.20,24.70,27.30,36.40,37.70,20.00,20.00,20.00
Rebel's Greatshield,25.94,28.67,38.22,39.59,20.48,20.48,20.48,45.05,45.05,45.05,32.41,35.82,47.78,49.47,25.58,25.58,25.58,56.29,56.29,56.29,36.31,40.13,53.51,55.42,28.67,28.67,28.67,63.06,63.06,63.06,25.94,28.67,38.22,39.59,20.48,20.48,20.48,45.05,45.05,45.05,28.01,30.96,41.28,42.75,22.11,22.11,22.11,48.65,48.65,48.65,35.00,38.68,28.01,30.96,41.28,20.75,20.75,33.72,37.26,49.69,51.46,27.30,27.30,27.30
Red Iron Twinblade,31.92,35.28,47.04,48.72,25.20,25.20,25.20,55.44,55.44,55.44,39.88,44.08,58.80,60.88,31.48,31.48,31.48,69.28,69.28,69.28,44.69,49.39,65.86,68.21,35.28,35.28,35.28,77.62,77.62,77.62,31.92,35.28,47.04,48.72,25.20,25.20,25.20,55.44,55.44,55.44,34.47,38.10,50.80,52.62,27.22,27.22,27.22,59.88,59.88,59.88,43.08,47.61,34.47,38.10,50.80,25.54,25.54,41.50,45.86,61.15,63.34,33.60,33.60,33.60
Red Rust Scimitar,22.61,24.99,33.32,34.51,17.85,17.85,17.85,39.27,39.27,39.27,28.25,31.23,41.65,43.13,22.30,22.30,22.30,49.08,49.08,49.08,31.65,34.99,46.65,48.31,24.99,24.99,24.99,54.98,54.98,54.98,22.61,24.99,33.32,34.51,17.85,17.85,17.85,39.27,39.27,39.27,24.42,26.99,35.99,37.27,19.28,19.28,19.28,42.41,42.41,42.41,30.51,33.72,24.42,26.99,35.99,18.09,18.09,29.39,32.49,43.32,44.86,23.80,23.80,23.80
Red Rust Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Red Rust Sword,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,28.84,31.88,42.53,44.03,22.77,22.77,22.77,50.11,50.11,50.11,32.32,35.72,47.63,49.33,25.52,25.52,25.52,56.13,56.13,56.13,23.09,25.52,34.02,35.24,18.23,18.23,18.23,40.10,40.10,40.10,24.93,27.56,36.74,38.05,19.68,19.68,19.68,43.30,43.30,43.30,31.15,34.43,24.93,27.56,36.74,18.47,18.47,30.01,33.17,44.23,45.81,24.30,24.30,24.30
Reeve's Greatshield,28.69,31.71,42.28,43.79,22.65,22.65,22.65,49.83,49.83,49.83,35.85,39.62,52.85,54.72,28.30,28.30,28.30,62.27,62.27,62.27,40.17,44.39,59.19,61.31,31.71,31.71,31.71,69.76,69.76,69.76,28.69,31.71,42.28,43.79,22.65,22.65,22.65,49.83,49.83,49.83,30.99,34.25,45.66,47.29,24.46,24.46,24.46,53.82,53.82,53.82,38.72,42.79,30.99,34.25,45.66,22.95,22.95,37.30,41.22,54.96,56.93,30.20,30.20,30.20
Reinforced Club,23.75,26.25,35.00,36.25,18.75,18.75,18.75,41.25,41.25,41.25,29.68,32.80,43.75,45.30,23.43,23.43,23.43,51.55,51.55,51.55,33.25,36.75,49.00,50.75,26.25,26.25,26.25,57.75,57.75,57.75,23.75,26.25,35.00,36.25,18.75,18.75,18.75,41.25,41.25,41.25,25.65,28.35,37.80,39.15,20.25,20.25,20.25,44.55,44.55,44.55,32.05,35.43,25.65,28.35,37.80,19.00,19.00,30.88,34.13,45.50,47.13,25.00,25.00,25.00
Retainer Staff,24.51,27.09,27.02,27.99,14.48,14.48,14.48,31.85,31.85,31.85,30.62,33.85,33.78,34.97,18.08,18.08,18.08,39.80,39.80,39.80,25.67,28.37,37.83,39.18,20.27,20.27,20.27,44.58,44.58,44.58,18.34,20.27,27.02,27.99,14.48,14.48,14.48,31.85,31.85,31.85,26.47,29.26,29.18,30.22,15.63,15.63,15.63,34.39,34.39,34.39,24.74,27.35,19.80,21.89,29.18,14.67,14.67,23.84,26.34,35.13,36.38,19.30,19.30,19.30
Retainer's Short Sword,15.87,17.54,23.38,24.22,12.53,12.53,12.53,27.56,27.56,27.56,19.82,21.91,29.23,30.26,15.65,15.65,15.65,34.44,34.44,34.44,22.21,24.55,32.73,33.90,17.54,17.54,17.54,38.58,38.58,38.58,15.87,17.54,23.38,24.22,12.53,12.53,12.53,27.56,27.56,27.56,17.13,18.94,25.25,26.15,13.53,13.53,13.53,29.76,29.76,29.76,21.41,23.66,17.13,18.94,25.25,12.69,12.69,20.62,22.80,30.39,31.48,16.70,16.70,16.70
Ricard's Rapier,19.19,21.21,5.66,5.86,15.15,15.15,15.15,33.33,33.33,33.33,23.98,26.50,7.07,7.31,18.93,18.93,18.93,41.65,41.65,41.65,26.87,29.69,7.92,8.20,21.21,21.21,21.21,46.66,46.66,46.66,19.19,21.21,5.66,5.86,15.15,15.15,15.15,33.33,33.33,33.33,20.73,22.91,6.10,6.32,16.36,16.36,16.36,36.00,36.00,36.00,25.90,28.62,20.73,22.91,6.10,15.35,15.35,24.95,27.57,34.93,38.60,20.20,20.20,20.20
